行号,产品名称,原价(SGD),新价(SGD),涨幅
7,Gaulois XO 1L 高路易 XO 1L,199.00,209.00,10.00
9,Fenjiu Qinghua 30 (53%) 汾酒 青花30 (53% Vol),200.00,210.00,10.00
10,Blue Dash Cucumber Flavor 730ml 15% 布鲁大师 青瓜味,68.00,73.00,5.00
11,Jiannanchun Oriental Red 剑南春 东方红,199.00,209.00,10.00
12,Fenjiu Silk Road 汾酒 丝绸之路,435.00,445.00,10.00
13,Luzhou Jiancang A8 泸州鉴藏 A8,129.00,139.00,10.00
14,Happy Brew Lager 嗨啤精酿 拉格,6.00,11.00,5.00
16,Martell XO 马爹利 XO,240.00,250.00,10.00
17,Wuliangye 五粮液,199.00,209.00,10.00
18,Fenjiu Qinghua 50 汾酒 青花50度,205.00,215.00,10.00
19,Blue Dash White Grape Flavor 730ml 15% 布鲁大师 白葡萄味,68.00,73.00,5.00
20,Premium Tequila 顶级龙舌兰,78.00,83.00,5.00
22,Fenjiu 10 Year 汾酒 10年,90.00,95.00,5.00
23,Perrier-Jouët 白雪香槟,99.00,104.00,5.00
24,Hibiki Japanese Harmony 响 和风,130.00,140.00,10.00
25,Macallan 15 Double Cask 麦卡伦15年 双桶,235.00,245.00,10.00
27,Yanghe Sky Blue 42% 洋河 天之蓝 42%,77.00,82.00,5.00
28,Yanghe Dream Blue Crystal 40.8% 洋河 梦之蓝水晶版 40.8%,125.00,135.00,10.00
29,Jiannanchun Bronze Age 剑南春 青铜纪,399.00,409.00,10.00
30,Blue Dash Lime Flavor 730ml 15% 布鲁大师 青柠味,68.00,73.00,5.00
31,Sella & Mosca Monteoro 2020 赛拉摩斯卡 2020,60.00,65.00,5.00
32,Yanghe Dream Blue M6+ 52% 洋河 梦之蓝 M6+ 52%,179.00,189.00,10.00
34,Yanghe Dream Blue M9 洋河 梦之蓝 M9,285.00,295.00,10.00
35,Yanghe Micro 33.8% 洋河 微分子 33.8%,60.00,65.00,5.00
38,Rose Fenjiu 玫瑰汾酒,415.00,425.00,10.00
39,Fenjiu Panama 1915 汾酒 巴拿马1915,135.00,145.00,10.00
40,Fenjiu Revival Qinghua 30 汾酒 复兴版青花30,225.00,235.00,10.00
42,Yanghe Dream Blue M6+ 40.8% 洋河 梦之蓝 M6+ 40.8%,140.00,150.00,10.00
43,Guojiao 1573 国窖1573,199.00,209.00,10.00
44,Fenjiu Classic 汾酒 玻璃汾,62.00,67.00,5.00
45,Martell VSOP 马爹利 VSOP,99.00,104.00,5.00
46,Louis Roederer Cristal 2014 路易王妃 水晶香槟 2014,485.00,495.00,10.00
47,Macallan 12 Double Cask 麦卡伦12年 双桶,129.00,139.00,10.00
49,Macallan 18 Double Oak 麦卡伦18年 双桶,445.00,455.00,10.00
50,Zhuye Qing 10 Year 竹叶青 10年,130.00,140.00,10.00
51,Happy Brew Wheat Beer 嗨啤精酿 小麦,6.00,11.00,5.00
52,Hennessy XO 轩尼诗 XO,230.00,240.00,10.00
53,GAVO XO 700ML,199.00,209.00,10.00
56,Fenjiu Qinghua 20 汾酒 青花20度,145.00,155.00,10.00
57,Martell Cordon Bleu 马爹利 蓝带,199.00,209.00,10.00
58,Yamazaki 12 山崎12年,235.00,245.00,10.00
59,Dom Pérignon 2015 唐培里侬 2015,249.00,259.00,10.00
61,Fenjiu Qinghua 30 (48%) 汾酒 青花30 (48% Vol),170.00,180.00,10.00
64,Macallan 12 Sherry Oak 麦卡伦12年 雪莉桶,145.00,155.00,10.00
65,Yanghe Dream Blue Handcrafted 洋河 梦之蓝手工班,335.00,345.00,10.00
66,Hennessy VSOP 轩尼诗 VSOP,85.00,90.00,5.00
67,Blue Dash 730ML,68.00,73.00,5.00
69,Dom Pérignon 2013 唐培里侬 2013,285.00,295.00,10.00
70,Dassai 23 1.8L 獺祭 23 1.8L,230.00,240.00,10.00
71,Moutai (Feitian) 飞天茅台,299.00,309.00,10.00
72,Yanghe New Sky Blue 洋河 大曲新天蓝,40.00,45.00,5.00
73,Zhuye Qing Limited Edition 竹叶青 限量版,425.00,435.00,10.00
74,Yanghe Dream Blue Crystal 52% 洋河 梦之蓝水晶版 52%,125.00,135.00,10.00
75,Yanghe Sky Blue 52% 洋河 天之蓝 52%,85.00,90.00,5.00
76,Fenjiu Aged 30 Year 汾酒 陈酿30年,175.00,185.00,10.00
77,IT Extroso Appassimento Rosso IT 艾斯特罗索,60.00,65.00,5.00
